last updated 2019-06-03 16:37 UTC

| Players                               | Channel | Twitch-VoD                             | Youtube-Video                               | Notes                        |
| ------------------------------------- | ------- | -------------------------------------- | ------------------------------------------- | ---------------------------- |
| swap_space vs MassHesteria            | SG      | https://www.twitch.tv/videos/429552889 | https://www.youtube.com/watch?v=Xf7qpwuiNjw |                              |
| Rumbleminze vs ARC                    | SG6     | https://www.twitch.tv/videos/429553699 | https://www.youtube.com/watch?v=Wfx8Vu0BZf8 |                              |
| iora vs Di10                          | SG2     | https://www.twitch.tv/videos/429554552 | https://www.youtube.com/watch?v=BVEOdM7a8d4 |                              |
| papert1ger vs croakomire              | SG2     | https://www.twitch.tv/videos/429555695 | https://www.youtube.com/watch?v=HM7MF9uypNY |                              |
| polarbearbunny vs Mesyr               | SG2     | https://www.twitch.tv/videos/429557123 | https://www.youtube.com/watch?v=VBXXSr-noNM |                              |
| TracieM vs Janus                      | SG2     | https://www.twitch.tv/videos/429558007 | https://www.youtube.com/watch?v=R2yHtHThtzc |                              |
| sloaters27 vs Aerytheta               | SG3     | https://www.twitch.tv/videos/429559284 | https://www.youtube.com/watch?v=wsSplulRTok |                              |
| CanadianOwl vs MrGuyAverage           | SG2     | https://www.twitch.tv/videos/429560415 | https://www.youtube.com/watch?v=4AYK5tQzXDg |                              |
| sweetnumb vs FusionWarrior            | SG2     | https://www.twitch.tv/videos/429561285 | https://www.youtube.com/watch?v=RufM_z2aw90 |                              |
| Feral vs Toasty                       | SG2     | https://www.twitch.tv/videos/429562653 | https://www.youtube.com/watch?v=oaRNmxVMa3I |                              |
| Ddraig vs crossproduct                | SG2     | https://www.twitch.tv/videos/429563871 | https://www.youtube.com/watch?v=7HWW2W9t9cQ |                              |
| BluePlasmaSpark vs FreyasSpirit       | SG2     | https://www.twitch.tv/videos/429564985 | https://www.youtube.com/watch?v=zneNmGq_4J4 |                              |
| CheeseReaver vs LexausaurusRex        | SG2     | https://www.twitch.tv/videos/429565800 | https://www.youtube.com/watch?v=5iWevO26WyY |                              |
| Belthasar vs iora                     | SG2     | https://www.twitch.tv/videos/429566514 | https://www.youtube.com/watch?v=_WEP2JxZCsc |                              |
| azder vs NightwolfXVI                 | SG3     | https://www.twitch.tv/videos/429567979 | https://www.youtube.com/watch?v=pMpc9W-__c0 | End of interview was cut off |
| Whewty vs croakomire                  | SG2     | https://www.twitch.tv/videos/429570089 | https://www.youtube.com/watch?v=YVf1C2itlDc |                              |
| Kipp vs TracieM                       | SG5     | https://www.twitch.tv/videos/429571527 | https://www.youtube.com/watch?v=2x4qPBouOzo |                              |
| sweetnumb vs Maisgueuh                | SG3     | https://www.twitch.tv/videos/429572592 | https://www.youtube.com/watch?v=ZlfbEEaPi-M |                              |
| iora vs swap_space                    | SG6     | https://www.twitch.tv/videos/429988462 | https://www.youtube.com/watch?v=8QrXuLEBBv4 |                              |
| PeteZa_34 vs polarbearbunny           | SG      | https://www.twitch.tv/videos/429990321 | https://www.youtube.com/watch?v=4PN87d-X2oU |                              |
| 64bit_link vs CanadianOwl             | SG      | https://www.twitch.tv/videos/429993537 | https://www.youtube.com/watch?v=H5FWjRwJoao |                              |
| azder vs Hero_82                      | SG3     | https://www.twitch.tv/videos/430444347 | https://www.youtube.com/watch?v=an7wmVEN8_g |                              |
| serberoth vs crossproduct             | SG      | https://www.twitch.tv/videos/430446528 | https://www.youtube.com/watch?v=dceN4PfFtl4 |                              |
| Gameaholic vs Feral                   | SG3     | https://www.twitch.tv/videos/430449263 | https://www.youtube.com/watch?v=iE0yZMfTlzQ |                              |
| MassHesteria vs SpaghettiToastBook    | SG5     | https://www.twitch.tv/videos/430452092 | https://www.youtube.com/watch?v=qpIKbW-otgk |                              |
| Rumbleminze vs Jaychalke              | SG      | https://www.twitch.tv/videos/430919387 | https://www.youtube.com/watch?v=qDZYswup8vo |                              |
| WhiteMageBecky vs Skarsnik            | SG      | https://www.twitch.tv/videos/430921756 | https://www.youtube.com/watch?v=XffX8EKIZAg |                              |
| Kipp vs polarbearbunny                | SG2     | https://www.twitch.tv/videos/430923558 |                                             |                              |
| ptoil vs derp                         | SG      | https://www.twitch.tv/videos/432973027 | https://www.youtube.com/watch?v=6G0lCMZWFoc |                              |
| azder vs sweetnumb                    | SG2     | https://www.twitch.tv/videos/432973936 | https://www.youtube.com/watch?v=maVPQRsicjE |                              |
| mrguyaverage (guyaverage vs Maisgueuh | SG3     | https://www.twitch.tv/videos/432975257 | https://www.youtube.com/watch?v=NR7dYF5HY3w |                              |
| EasyDanger vs LexausaurusRex          | SG6     | https://www.twitch.tv/videos/432976923 | https://www.youtube.com/watch?v=B5OwkD9AqFI |                              |
| PeteZa_34 vs Toasty                   | SG6     | https://www.twitch.tv/videos/432977535 | https://www.youtube.com/watch?v=MmMfCnrashY |                              |
| Gameaholic vs Mesyr                   | SG4     | https://www.twitch.tv/videos/432978378 | https://www.youtube.com/watch?v=NO2nUqHm6S4 |                              |
| sloaters27 vs BFrobber                | SG5     | https://www.twitch.tv/videos/432979173 | https://www.youtube.com/watch?v=QFvCDv4eR14 |                              |
| 64bit_link vs FusionWarrior           | SG3     | https://www.twitch.tv/videos/433401965 |                                             |                              |
| SpaghettiToastBook vs Di10            | SG4     | https://www.twitch.tv/videos/433404045 |                                             |                              |
| NightwolfXVI vs Skarsnik              | SG2     | https://www.twitch.tv/videos/433950380 |                                             |                              |
| Rumbleminze vs Belthasar              | SG2     | https://www.twitch.tv/videos/433951384 |                                             |                              |
| croakomire vs CheeseReaver            | SG2     | https://www.twitch.tv/videos/433952296 |                                             |                              |
|                                       |         |                                        |                                             |                              |
